date,position,pred_direction,traded,actual_ret_1d,bh_log_ret,strategy_pnl,correct,equity_dollars,buy_hold_dollars,excess_dollars,cumret_pct,bh_cumret_pct,excess_cumret_pct,drawdown_pct,underwater
2025-12-01,-1.000000,-1,1,0.007796,0.007796,-0.007796,0,992.230000,1007.830000,-15.600000,-0.777000,0.783000,-1.560000,0.000000,0
2025-12-02,-1.000000,-1,1,0.002441,0.002441,-0.002441,0,989.820000,1010.290000,-20.470000,-1.018000,1.029000,-2.047000,-0.242887,1
2025-12-03,-1.000000,-1,1,-0.000931,-0.000931,0.000931,1,990.740000,1009.350000,-18.610000,-0.926000,0.935000,-1.861000,-0.150167,1
2025-12-04,-1.000000,-1,1,0.004069,0.004069,-0.004069,0,986.710000,1013.460000,-26.750000,-1.329000,1.346000,-2.675000,-0.556323,1
2025-12-05,-1.000000,-1,1,-0.001920,-0.001920,0.001920,1,988.610000,1011.520000,-22.910000,-1.139000,1.152000,-2.291000,-0.364835,1
2025-12-08,-1.000000,-1,1,0.001233,0.001233,-0.001233,0,987.390000,1012.770000,-25.380000,-1.261000,1.277000,-2.538000,-0.487790,1
2025-12-09,-1.000000,-1,1,0.004087,0.004087,-0.004087,0,983.360000,1016.920000,-33.560000,-1.664000,1.692000,-3.356000,-0.893946,1
2025-12-10,-1.000000,-1,1,-0.003240,-0.003240,0.003240,1,986.560000,1013.630000,-27.070000,-1.344000,1.363000,-2.707000,-0.571440,1
2025-12-11,-1.000000,-1,1,-0.019303,-0.019303,0.019303,1,1005.780000,994.250000,11.530000,0.578000,-0.575000,1.153000,0.000000,0
2025-12-12,-1.000000,-1,1,-0.005032,-0.005032,0.005032,1,1010.860000,989.260000,21.600000,1.086000,-1.074000,2.160000,0.000000,0
2025-12-15,-1.000000,-1,1,0.001980,0.001980,-0.001980,0,1008.860000,991.220000,17.640000,0.886000,-0.878000,1.764000,-0.197851,1
2025-12-16,-1.000000,-1,1,-0.018711,-0.018711,0.018711,1,1027.910000,972.840000,55.070000,2.791000,-2.716000,5.507000,0.000000,0
2025-12-17,-1.000000,-1,1,0.014386,0.014386,-0.014386,0,1013.230000,986.940000,26.290000,1.323000,-1.306000,2.629000,-1.428141,1
2025-12-18,-1.000000,-1,1,0.012951,0.012951,-0.012951,0,1000.190000,999.810000,0.380000,0.019000,-0.019000,0.038000,-2.696734,1
2025-12-19,-1.000000,-1,1,0.004782,0.004782,-0.004782,0,995.420000,1004.600000,-9.180000,-0.458000,0.460000,-0.918000,-3.160783,1
2025-12-22,-1.000000,-1,1,0.004672,0.004672,-0.004672,0,990.780000,1009.300000,-18.520000,-0.922000,0.930000,-1.852000,-3.612184,1
2025-12-23,-1.000000,-1,1,0.002921,0.002921,-0.002921,0,987.890000,1012.260000,-24.370000,-1.211000,1.226000,-2.437000,-3.893337,1
2025-12-24,-1.000000,-1,1,-0.000064,-0.000064,0.000064,1,987.960000,1012.190000,-24.230000,-1.204000,1.219000,-2.423000,-3.886527,1
2025-12-26,-1.000000,-1,1,-0.004852,-0.004852,0.004852,1,992.760000,1007.290000,-14.530000,-0.724000,0.729000,-1.453000,-3.419560,1
2025-12-29,-1.000000,-1,1,-0.002322,-0.002322,0.002322,1,995.070000,1004.960000,-9.890000,-0.493000,0.496000,-0.989000,-3.194832,1
2025-12-30,-1.000000,-1,1,-0.008300,-0.008300,0.008300,1,1003.360000,996.650000,6.710000,0.336000,-0.335000,0.671000,-2.388341,1
2025-12-31,-1.000000,-1,1,-0.001939,-0.001939,0.001939,1,1005.310000,994.720000,10.590000,0.531000,-0.528000,1.059000,-2.198636,1
2026-01-02,-1.000000,-1,1,0.007912,0.007912,-0.007912,0,997.390000,1002.620000,-5.230000,-0.261000,0.262000,-0.523000,-2.969132,1
2026-01-05,-1.000000,-1,1,0.008748,0.008748,-0.008748,0,988.700000,1011.430000,-22.730000,-1.130000,1.143000,-2.273000,-3.814536,1
2026-01-06,-1.000000,-1,1,0.000962,0.000962,-0.000962,0,987.750000,1012.400000,-24.650000,-1.225000,1.240000,-2.465000,-3.906957,1
2026-01-07,-1.000000,-1,1,-0.005705,-0.005705,0.005705,1,993.400000,1006.640000,-13.240000,-0.660000,0.664000,-1.324000,-3.357298,1
2026-01-08,-1.000000,-1,1,0.009911,0.009911,-0.009911,0,983.600000,1016.670000,-33.070000,-1.640000,1.667000,-3.307000,-4.310689,1
2026-01-09,-1.000000,-1,1,0.000829,0.000829,-0.000829,0,982.790000,1017.510000,-34.720000,-1.721000,1.751000,-3.472000,-4.389489,1
2026-01-12,-1.000000,-1,1,-0.001484,-0.001484,0.001484,1,984.250000,1016.000000,-31.750000,-1.575000,1.600000,-3.175000,-4.247454,1
